Bioactivity_ID,Aid_Type,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Cell_ID,Anatomy,dois,pmcids,pclids,citations,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity_Value,Taxonomy_ID,Target_Taxonomy_ID,Anatomy_ID
345979257,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 24 hour,1-Amino-2-propanol,,,,,45,,,,,,1224886,144212021,4,,,,20160908,1,0,,,,
345984522,Summary,Unspecified,EAW81333,Potency,,Tox21,qHTS assay to identify small molecule agonists of the thyroid stimulating hormone receptor (TSHR) signaling pathway: Summary,1-Amino-2-propanol,TSHR - thyroid stimulating hormone receptor (human),/gene/7253,,P16473,,,,,,,1224895,144212021,4,,7253,,20160914,0,0,,9606,,
345913767,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 32 hour,1-Amino-2-propanol,,,,,45,,,,,,1224868,144212021,4,,,,20160908,1,0,,,,
369435315,Confirmatory,Unspecified,ABQ01243,Potency,,Tox21,Human Ether-a-go-go-Related Gene (hERG) channel small molecule antagonists: fluorescence cell-based qHTS assay,1-Amino-2-propanol,KCNH2 - potassium voltage-gated channel subfamily H member 2 (human),/gene/3757,,Q12809,0,,,,,,1671200,144212021,4,,3757,,20210929,1,0,,9606,,
351754958,Summary,Unspecified,ADZ17378,,,Tox21,qHTS assay to identify small molecule agonists of the estrogen related receptor (ERR) signaling pathway from Tox21 library: Summary,1-Amino-2-propanol,ESRRA - estrogen related receptor alpha (human),/gene/2101,,P11474,54,,,,,,1259404,144212021,4,,2101,,20180322,0,0,,9606,,
333877944,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay for identifying genotoxic compounds that show differential cytotoxicity against isogenic chicken DT40 cell lines with known DNA damage response pathways - wild type cell line,1-Amino-2-propanol,,,,,,,,,,,743012,144212021,4,,,,20140820,1,0,,,,
334836410,Confirmatory,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen  receptor (AR) signaling pathway using the MDA cell line,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743042,144212021,4,,367,,20140820,1,0,,9606,,
334837748,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the estrogen receptor alpha (ER-alpha) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743074,144212021,4,,,,20140820,1,0,,,,
334753477,Summary,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway: Summary,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743063,144212021,4,,367,,20140820,0,0,,9606,,
334886945,Confirmatory,Unspecified,AEP43755,Potency,,Tox21,qHTS assay to identify small molecule agonists of the estrogen receptor alpha (ER-alpha) signaling pathway using the BG1 cell line,1-Amino-2-propanol,ESR1 - estrogen receptor 1 (human),/gene/2099,,P03372,,,,,,,743079,144212021,4,,2099,,20140820,1,0,,9606,,
383485038,Confirmatory,Unspecified,ACG60651,Potency,,Tox21,"Human kisspeptin (KISS1R) small molecule agonists, calcium flux assay in KISS1R-HEK293 cells",1-Amino-2-propanol,KISS1R - KISS1 receptor (human),/gene/84634,,Q969F8,45,,,,,,1920064,144212021,4,,84634,,20240219,0,0,,9606,,
334879828,Summary,Unspecified,AAI32976,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the androgen receptor (AR) signaling pathway using the MDA cell line: Summary,1-Amino-2-propanol,AR - androgen receptor (human),/gene/367,,AAI32976,,,,,,,743054,144212021,4,,367,,20140820,0,0,,9606,,
334835554,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify aromatase inhibitors - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743084,144212021,4,,,,20140821,1,0,,,,
383510647,Summary,Unspecified,AAI13547,,,Tox21,"Human gonadotropin-releasing hormone receptor (GnRHR) small molecule agonists, calcium flux assay in GnRHR-HEK293 cells: Summary",1-Amino-2-propanol,GNRHR - gonadotropin releasing hormone receptor (human),/gene/2798,,P30968,45,,,,,,1920067,144212021,4,,2798,,20240308,0,0,,9606,,
334778305,Confirmatory,Unspecified,,Potency,,Tox21,qHTS assay to identify small molecule that activate the aryl hydrocarbon receptor (AhR) signaling pathway - cell viability counter screen,1-Amino-2-propanol,,,,,,,,,,,743086,144212021,4,,,,20140821,1,0,,,,
383531004,Summary,Unspecified,ACG60651,,,Tox21,"Human kisspeptin (KISS1R) small molecule agonists, calcium flux assay in KISS1R-HEK293 cells: Summary",1-Amino-2-propanol,KISS1R - KISS1 receptor (human),/gene/84634,,Q969F8,45,,,,,,1920068,144212021,4,,84634,,20240308,0,0,,9606,,
334918913,Summary,Unspecified,BAH02283,,,Tox21,qHTS assay to identify small molecule antagonists of the peroxisome proliferator-activated receptor gamma (PPARg) signaling pathway: Summary,1-Amino-2-propanol,PPARG - peroxisome proliferator activated receptor gamma (human),/gene/5468,,BAH02283,,,,,,,743199,144212021,4,,5468,,20140821,0,0,,9606,,
334863839,Confirmatory,Unspecified,NP_001257783,Potency,,Tox21,qHTS assay to identify small molecule agonists of the thyroid receptor (TR) signaling pathway,1-Amino-2-propanol,Thrb - thyroid hormone receptor beta (Norway rat),/gene/24831,,NP_001257783,,,,,,,743066,144212021,4,,24831,,20140820,1,0,,10116,,
